wick_threshold,horizon_candles,target_return,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total
0.8,12,0.012,-0.000381568202970694,-0.8892477668521311,-0.0009094839063289887,-0.7574367779874631,1213,0,13
0.8,4,0.012,-0.0006271225476785214,-0.8981881695756667,-0.0009106923802100196,-0.7933571176652827,1477,0,13
0.8,6,0.012,-0.0005048698476550111,-0.8547805017116832,-0.001011974061463886,-0.7858145512540904,1366,0,13
0.4,6,0.012,-0.0006231503555882755,-0.9990296742770112,-0.001053188727267361,-0.9813429174066467,3493,0,6
0.8,12,0.009,-0.000381568202970694,-0.8892477668521311,-0.001055812062417081,-0.7895440487997736,1344,0,12
0.8,8,0.012,-0.00041388412645362816,-0.8688066308737864,-0.0010812189761704922,-0.8027334941835748,1304,0,13
0.8,4,0.009,-0.0006271225476785214,-0.8981881695756667,-0.0010991914620733212,-0.8430358251478609,1548,0,13
0.7,4,0.012,-0.0005876662978635587,-0.9292499470815838,-0.0010997895631847602,-0.9020111051853186,1952,0,11
0.8,3,0.012,-0.0007628272742822831,-0.914830434607188,-0.0011030782720841646,-0.8479896694355328,1560,0,14
0.4,8,0.012,-0.0005184662672080194,-0.9984433269429339,-0.0011498677326093165,-0.9785703822403088,3123,0,6
0.8,2,0.012,-0.0008235308860449224,-0.9197492245622642,-0.0011574137235620362,-0.8818137157551699,1688,0,14
0.5,8,0.012,-0.0005908110450728627,-0.9936508873107032,-0.001163407851331252,-0.9672022425917536,2670,0,11
0.4,4,0.012,-0.0006689736161169075,-0.9991121991546925,-0.0011774789031693033,-0.9937747797740123,4127,0,7
0.7,8,0.012,-0.0003053811957409482,-0.862828813305716,-0.0011880329755264373,-0.8908095245102836,1692,0,11
0.7,6,0.012,-0.0004373335499515554,-0.8749245129404919,-0.0011902231349547787,-0.900074411813297,1789,0,11
0.4,12,0.012,-0.0003600582686133878,-0.9976408007917721,-0.0011983029044831614,-0.969898024202468,2700,0,5
0.8,8,0.009,-0.00041388412645362816,-0.8688066308737864,-0.0011988627354389924,-0.8341983628643637,1404,0,12
0.7,3,0.012,-0.0007513815506277635,-0.948312813598837,-0.0012097457020112546,-0.929396786312415,2070,0,12
